Instance,Population Size,Mutation Probability,Total Fleet Size,Min Bus Line/Ind,Min Vertices in a Bus Line,Max Vertices in a Bus Line,Transfer Penalty,Unreached Stop Penalty,Best Solution Operator Cost,Best Solution Passanger Cost,Total Time
Mumford0,200,0.1,15,6,8,4,15,120,26.083333333333336,43.03903144727613,2121.198449611664
Mumford0,200,0.5,15,6,10,3,20,120,23.5,58.92994505494506,1911.4533274173737
Mumford0,200,0.5,15,6,10,3,20,120,20.24047619047619,56.12343640402151,2370.856085062027
Mumford0,200,0.5,15,6,10,3,20,120,25.01666666666667,59.93120177694646,2525.863992214203
Mumford0,200,0.1,15,6,8,4,15,120,27.55,48.19688157587094,1816.5208311080933
Mumford0,200,0.5,15,6,10,3,20,120,25.23333333333333,48.740092354454056,2420.3074946403503
Mumford0,200,0.5,15,6,10,3,20,120,24.499999999999996,59.912906242693474,2481.2609775066376
Mumford0,200,0.1,15,6,8,4,15,120,27.64285714285714,44.669715922375495,1835.2573432922363
Mumford0,200,0.1,15,6,8,4,15,120,20.2,55.2394347673603,2151.765214443207
Mumford0,200,0.1,15,6,8,4,15,120,25.466666666666665,46.814107435118075,2947.2496144771576
Mumford0,200,0.25,15,6,8,4,15,120,25.726190476190478,43.41113806406359,1726.604968547821
Mumford0,200,0.25,15,6,8,4,15,120,23.8,44.161985620762216,2638.8770480155945
Mumford0,200,0.1,15,6,8,4,15,120,25.0,45.27887537993921,2467.6804394721985
Mumford0,200,0.1,15,6,8,4,15,120,25.2,41.74709200374094,2233.5146672725677
Mumford0,200,0.1,15,6,8,4,15,120,25.583333333333332,41.282820902501754,2954.9368517398834
Mumford0,200,0.1,15,6,8,4,15,120,26.8,44.62586216974515,2061.955193042755
Mumford0,200,0.25,15,6,8,4,15,120,29.214285714285715,45.60515548281506,1841.0094809532166
Mumford0,200,0.5,15,6,8,4,15,120,26.0,50.22403261631985,1852.3019590377808
Mumford0,200,0.25,15,6,8,4,15,120,24.5,46.91353460369418,2548.8753962516785
Mumford0,200,0.5,15,6,8,4,15,120,25.8,44.42889291559504,2650.2926008701324
Mumford0,200,0.25,15,6,8,4,15,120,25.616666666666667,50.810907177928456,2933.269033908844
Mumford0,200,0.25,15,6,8,4,15,120,22.885714285714286,47.4298135375263,2238.8193984031677
Mumford0,200,0.25,15,6,8,4,15,120,25.066666666666666,48.43657937806874,2645.3461050987244
Mumford0,200,0.5,15,6,8,4,15,120,22.366666666666667,42.70497720364742,1787.278119802475
Mumford0,200,0.25,15,6,8,4,15,120,25.0,43.37443009118541,1945.3354890346527
Mumford0,200,0.25,15,6,8,4,15,120,24.116666666666667,44.151025835866264,2666.525903940201
Mumford0,200,0.1,15,6,10,4,15,120,28.978571428571428,46.69014496142156,2552.2342569828033
Mumford0,200,0.5,15,6,8,4,15,120,28.25,43.247895721299976,2566.7129306793213
Mumford0,200,0.5,15,6,8,4,15,120,24.633333333333333,48.77995674538228,1958.3798639774323
Mumford0,200,0.1,15,6,10,4,15,120,29.071428571428573,47.41686637830255,2395.7540464401245
Mumford0,200,0.5,15,6,8,4,15,120,25.03333333333333,43.99324877250409,2395.6827001571655
Mumford0,200,0.5,15,6,8,4,15,120,26.0,45.10781505728314,1781.470079421997
Mumford0,200,0.5,15,6,8,4,15,120,24.5,47.12793722235212,2795.805758714676
Mumford0,200,0.5,15,6,8,4,15,120,23.476190476190478,43.026405775075986,2536.7869548797607
Mumford0,200,0.1,15,6,10,4,15,120,26.5,50.411971007715685,3409.7095992565155
Mumford0,200,0.1,15,6,10,4,15,120,24.58333333333333,48.6017798690671,2054.316347360611
Mumford0,200,0.25,15,6,10,4,15,120,26.45,45.47683832125321,3130.171848297119
Mumford0,200,0.25,15,6,10,4,15,120,23.32857142857143,51.134220832359134,2307.942376613617
Mumford0,200,0.1,15,6,10,4,15,120,23.795238095238098,50.227554360533084,2289.232640504837
Mumford0,200,0.1,15,6,10,4,15,120,24.733333333333334,41.71219604863222,2636.4041900634766
Mumford0,200,0.1,15,6,10,4,15,120,24.666666666666668,51.711947626841244,2337.2434935569763
Mumford0,200,0.1,15,6,10,4,15,120,27.18452380952381,44.401595744680854,2545.992872953415
Mumford0,200,0.1,15,6,10,4,15,120,23.0,51.75473462707505,2916.3796515464783
Mumford0,200,0.25,15,6,10,4,15,120,24.633333333333333,50.38587210661679,2014.4482064247131
Mumford0,200,0.25,15,6,10,4,15,120,24.208333333333332,52.65415302782324,2331.4448177814484
Mumford0,200,0.5,15,6,10,4,15,120,23.333333333333332,48.72537701660042,2332.8464155197144
Mumford0,200,0.5,15,6,10,4,15,120,23.442857142857143,47.11487315875614,2430.5896801948547
Mumford0,200,0.25,15,6,10,4,15,120,25.166666666666668,53.08113163432312,2113.3599882125854
Mumford0,200,0.25,15,6,10,4,15,120,23.55952380952381,50.580342529810615,2317.5538070201874
Mumford0,200,0.25,15,6,10,4,15,120,23.833333333333332,57.77208031330372,2358.360597372055
Mumford0,200,0.25,15,6,10,4,15,120,26.333333333333332,53.731514496142154,2248.074067592621
Mumford0,200,0.5,15,6,10,4,15,120,19.014285714285716,53.4393850830021,2012.8445618152618
Mumford0,200,0.25,15,6,10,4,15,120,21.8,54.368044189852704,2217.65149641037
Mumford0,200,0.5,15,6,10,4,15,120,27.541666666666664,45.145750526069676,2095.0765612125397
Mumford0,200,0.1,15,6,8,3,15,120,23.983333333333334,51.52859773205518,2119.668836593628
Mumford0,200,0.1,15,6,8,3,15,120,26.46666666666667,43.0811170212766,2255.5648295879364
Mumford0,200,0.5,15,6,10,4,15,120,24.71428571428572,45.158946107084404,2164.052734375
Mumford0,200,0.5,15,6,10,4,15,120,26.316666666666666,50.889320785597384,2062.419676542282
